site,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
oysterville,1973,5.8,6.4,6.4,7.0,6.1,10.7,10.3,9.5,,7.0,6.5,6.6
oysterville,1974,6.0,6.6,6.0,7.2,7.8,9.0,,4.1,5.1,6.3,7.5,6.4
oysterville,1975,6.1,7.0,5.9,9.9,7.4,11.6,11.1,10.3,12.2,9.7,9.3,7.5
oysterville,1976,9.3,8.0,7.0,8.6,9.0,9.3,,12.3,10.1,9.6,10.2,8.9
oysterville,1977,3.8,8.6,8.5,9.1,7.9,8.6,14.9,8.9,9.4,9.5,8.3,4.1
oysterville,1978,7.3,7.3,7.1,9.2,6.5,10.0,4.5,9.3,7.5,,8.9,6.9
oysterville,1979,2.5,9.7,,,,,,,,,8.5,7.8
oysterville,1980,6.0,4.9,6.8,8.8,6.1,9.4,,,,7.9,7.6,9.8
oysterville,1981,7.6,6.3,7.1,7.2,7.7,10.4,,,,8.1,7.8,5.5
oysterville,1982,,7.2,,,,,,,,,,
oysterville,1983,,,,,,,,,5.3,4.8,5.3,
oysterville,1984,5.1,4.5,6.9,,6.8,5.3,10.4,8.2,9.3,6.5,5.8,4.6
oysterville,1985,5.4,6.0,,4.2,8.0,8.3,9.7,,4.0,10.0,6.9,
oysterville,1986,,,,5.4,6.6,,,,,9.2,6.9,5.6
oysterville,1987,6.7,6.9,5.3,7.1,7.5,8.7,5.8,6.7,7.5,6.3,10.1,9.1
oysterville,1988,9.0,8.6,9.5,8.3,7.6,7.2,4.7,6.9,8.6,7.7,6.9,8.3
oysterville,1989,6.9,7.7,6.7,9.0,8.5,6.0,4.8,5.9,4.8,5.2,4.9,6.6
oysterville,1990,6.2,5.0,6.2,5.5,6.7,7.8,4.7,7.8,6.5,5.4,4.9,4.7
oysterville,1991,4.1,4.1,,5.1,8.0,10.3,8.4,5.4,4.1,4.7,6.0,
oysterville,1992,3.3,3.1,3.6,5.3,8.6,4.1,5.0,8.2,7.5,,6.8,7.1
oysterville,1993,8.2,8.5,6.9,9.0,8.9,9.8,6.4,3.6,7.9,5.5,3.2,5.7
